vec_len,N,coeff_mod_bit_sizes,scale_pow,trials,keygen_time_s,enc_client_u_time_s,enc_client_norm_time_s,dec_norm_time_s,dot_plainmul_time_s,rot_sum_time_s,dec_dot_time_s,scalar_mul_time_s,agg_time_s,final_dec_time_s,ct_u_bytes,ct_n_bytes,ct_prod_bytes,ct_dot_bytes,ct_weight_bytes,ct_agg_bytes,relin_keys_size_mean,galois_keys_size_mean,mae_error,max_err,mem_delta_mb,fallback_encrypt_plain_count,fallback_rotation_count
1024,8192,"[60, 40, 40, 60]",30,3,0.13754417433180302,0.0034525106675573625,0.003161019002921724,0.0009476869987944762,0.0,0.03872176666482119,0.0006257793356780894,0.0007467539981007576,2.96669895760715e-07,0.0006405189997167327,334393.6666666667,334385.3333333333,235346.66666666666,235345.66666666666,235342.66666666666,235342.66666666666,-1.0,-1.0,0.7970677168349383,3.2354322384707106,32.6953125,0,0
1024,8192,"[60, 40, 40, 60]",40,3,0.12750764099958664,0.003373159333326233,0.0031587526658161855,0.0009387773316120729,0.0,0.03799824333448972,0.000603013000121185,0.0006914779975583466,2.0000394821787873e-07,0.000640302331400259,334262.6666666667,334321.6666666667,235378.66666666666,235366.33333333334,235366.0,235366.0,-1.0,-1.0,1.1134274629531142e-07,4.671469790255382e-07,3.31640625,0,0
1024,8192,"[60, 40, 60]",30,3,0.07244356733523698,0.002798655999261731,0.002501367334237633,0.0006209523344296031,0.0,0.028020117334866274,0.0002659023302840069,0.0004485686683134797,1.7000274965539575e-07,0.0002971149976171243,235366.0,235320.33333333334,131217.0,131217.0,131217.0,131217.0,-1.0,-1.0,0.797067737187633,3.2354331916930934,11.736979166666666,0,0
1024,8192,"[60, 40, 60]",40,3,0.06765465933373586,0.002752156333978443,0.0024926913320086896,0.0006171859980289204,0.0,0.02809394966607215,0.0002655619997919227,0.00045156566678391147,2.1333350256706277e-07,0.00029596466629300267,235347.33333333334,235342.33333333334,131217.0,131217.0,131217.0,131217.0,-1.0,-1.0,1.1043406799758068e-07,4.616820466670409e-07,0.21875,0,0
4096,8192,"[60, 40, 40, 60]",30,3,0.12645118966611335,0.0038299813313642517,0.003383102002165591,0.0010243623328278773,0.0,0.05095421033426343,0.0006488856670330279,0.0007139680019463412,2.0999868866056204e-07,0.0007575436660166209,334338.3333333333,334326.0,235377.66666666666,235359.66666666666,235322.66666666666,235322.66666666666,-1.0,-1.0,0.7976549706446244,3.5227091293048027,1.0416666666666667,0,0
4096,8192,"[60, 40, 40, 60]",40,3,0.12697205233416753,0.004031871004068914,0.0034523309999106764,0.000907007667895717,0.0,0.049315711003146134,0.0006325790018308908,0.0006965916666861934,1.9666670899217328e-07,0.0007368876661833686,334285.6666666667,334346.0,235383.33333333334,235399.33333333334,235348.66666666666,235348.66666666666,-1.0,-1.0,1.2413172138848664e-07,6.21654381675422e-07,0.0625,0,0
4096,8192,"[60, 40, 60]",30,3,0.06820330966729671,0.00311018333498699,0.0027332563355836705,0.000596136667203003,0.0,0.0373894353324431,0.0002964416659475925,0.0004520753330628698,2.6966639173527557e-07,0.0004084696653687085,235336.33333333334,235331.33333333334,131217.0,131217.0,131217.0,131217.0,-1.0,-1.0,0.7976549557753149,3.5227083070488843,0.0625,0,0
4096,8192,"[60, 40, 60]",40,3,0.06783261600018402,0.0030930009985847087,0.0027411996634327807,0.0005824203326483257,0.0,0.037356502667535096,0.0002953649988436761,0.00045120866464761394,2.600014947044353e-07,0.0004018936645782863,235358.0,235319.33333333334,131217.0,131217.0,131217.0,131217.0,-1.0,-1.0,1.224070251033405e-07,6.13793807298831e-07,0.06380208333333333,0,0
1024,16384,"[60, 40, 40, 60]",30,3,0.29049032766730915,0.006842390001111198,0.00636025133523314,0.0018969540008887027,0.0,0.0778286376662436,0.0012642713360643636,0.001616946334252134,2.5666668079793453e-07,0.0014170693345173884,657495.6666666666,657832.3333333334,460264.0,459721.3333333333,459883.6666666667,459883.6666666667,-1.0,-1.0,0.7970678200278715,3.2354356647332843,60.776041666666664,0,0
1024,16384,"[60, 40, 40, 60]",40,3,0.2747902000022198,0.00677193800220266,0.006355881996569224,0.0019635666661391347,0.0,0.0773754340019271,0.0012173626649503906,0.001435608668543864,2.5666668079793453e-07,0.0012689720024354756,657615.6666666666,657633.0,459974.3333333333,459912.6666666667,459629.6666666667,459629.6666666667,-1.0,-1.0,1.1434314619584034e-06,4.686374619033984e-06,1.14453125,0,0
1024,16384,"[60, 40, 60]",30,3,0.15521480299988374,0.005564488664579888,0.005322616331492706,0.001274814999002653,0.0,0.056914066665437225,0.0005410073329888595,0.0009311939987431591,2.1666589115435878e-07,0.0005707403349030452,459744.0,459910.0,262292.0,262292.0,262292.0,262292.0,-1.0,-1.0,0.7970677477457468,3.235431399443313,25.19921875,0,0
1024,16384,"[60, 40, 60]",40,3,0.1455462763357597,0.005449181000585668,0.005083460331661627,0.0012602616649625513,0.0,0.05677624000236392,0.0005401543360979607,0.0009389376694646975,2.366650733165443e-07,0.000569043668898909,459678.0,458742.6666666667,262292.0,262292.0,262292.0,262292.0,-1.0,-1.0,1.1418614806534453e-06,4.667066533237119e-06,0.0625,0,0
4096,16384,"[60, 40, 40, 60]",30,3,0.27319393833507394,0.007240090667134306,0.006681133330857847,0.0018646116635257688,0.0,0.09720104966496972,0.001287198002197935,0.0014610786650640268,2.33335110048453e-07,0.0013840363317285664,657835.6666666666,657970.3333333334,459489.3333333333,459931.0,460126.0,460126.0,-1.0,-1.0,0.7976549859744982,3.522708050841949,0.8203125,0,0
4096,16384,"[60, 40, 40, 60]",40,3,0.27267081600196735,0.007225581333235216,0.006688769998921392,0.0018890546659046474,0.0,0.09662017466325779,0.0012548323308389324,0.0014530783349376482,2.0666630007326603e-07,0.0013674133321425568,657945.0,657516.6666666666,459305.0,459567.6666666667,459916.0,459916.0,-1.0,-1.0,1.1513629208167427e-06,5.142255121419008e-06,-0.14583333333333334,0,0
4096,16384,"[60, 40, 60]",30,3,0.14573725633332893,0.005876067666880165,0.005365328999081005,0.001229489333733606,0.0,0.0716793986648554,0.0005754899975727312,0.0009251180017599836,3.1666422728449106e-07,0.00068835500132991,459516.0,460029.6666666667,262292.0,262292.0,262292.0,262292.0,-1.0,-1.0,0.7976549854156039,3.522708471185263,0.06380208333333333,0,0
4096,16384,"[60, 40, 60]",40,3,0.14667558366393982,0.005982022667012643,0.0053552496683551,0.001255732000572607,0.0,0.07206471633495919,0.0005773803325913226,0.000937294001535823,2.533342922106385e-07,0.000681088667382331,460027.3333333333,459881.3333333333,262292.0,262292.0,262292.0,262292.0,-1.0,-1.0,1.1531142087225677e-06,5.093289761356108e-06,0.0625,0,0
1024,32768,"[60, 40, 40, 60]",30,3,0.6326272266669548,0.013727412335962677,0.01312719866837142,0.0040803010027351165,0.0,0.16290110966656357,0.002583563000371214,0.0031882196684212736,2.3333268472924829e-07,0.0026194093322070935,1315722.0,1315982.6666666667,919638.3333333334,919870.6666666666,919965.0,919965.0,-1.0,-1.0,0.7970678612651886,3.235435481001979,121.25520833333333,0,0
1024,32768,"[60, 40, 40, 60]",40,3,0.5913322833318185,0.013863487001799513,0.013163532331721703,0.004025599337182939,0.0,0.1599223390003317,0.0025235413316598474,0.0031638866663949252,2.566691061171393e-07,0.0025668969974503852,1316289.3333333333,1315533.0,920152.6666666666,920270.0,919780.0,919780.0,-1.0,-1.0,1.1448202277322892e-06,4.716732702340447e-06,5.640625,0,0
1024,32768,"[60, 40, 60]",30,3,0.33231672633458703,0.01102189199931066,0.010450815003423486,0.0025653903333780668,0.0,0.11755202866576535,0.001111531329418843,0.0020459589965563887,2.2666548223545155e-07,0.0011415543340262957,920095.0,919686.6666666666,524442.0,524442.0,524442.0,524442.0,-1.0,-1.0,0.7970677641951139,3.2354327323816627,55.665364583333336,0,0
1024,32768,"[60, 40, 60]",40,3,0.3138669716669635,0.01111762399765818,0.010374106668071667,0.002537931335003426,0.0,0.11637497100067169,0.001123707998582783,0.0020477559980160245,2.0999868866056204e-07,0.0011514373303119403,919698.6666666666,919905.0,524442.0,524442.0,524442.0,524442.0,-1.0,-1.0,1.1497002516608726e-06,4.746228518204276e-06,0.0625,0,0
4096,32768,"[60, 40, 40, 60]",30,3,0.5941352553321243,0.014342721001109263,0.013624716664101774,0.004068968669647195,0.0,0.1994408180010699,0.002675168667337857,0.003205753334138232,2.2333309364815554e-07,0.0027191946671033898,1315624.6666666667,1316016.0,919860.6666666666,919588.3333333334,920168.6666666666,920168.6666666666,-1.0,-1.0,0.7976549530585969,3.522711034827585,5.352864583333333,0,0
4096,32768,"[60, 40, 40, 60]",40,3,0.5950314170016403,0.014309302331336463,0.013683716002560686,0.004152114333313269,0.0,0.19737222133456575,0.002598703998955898,0.0031803569994129552,2.5999906938523054e-07,0.002689238666789606,1315919.3333333333,1315441.0,920098.6666666666,919403.6666666666,919955.0,919955.0,-1.0,-1.0,1.1662988793826524e-06,5.634228484208137e-06,4.34765625,0,0
4096,32768,"[60, 40, 60]",30,3,0.3146940159980052,0.011566901334542004,0.010599034331486715,0.0025216513337606252,0.0,0.14365566233270025,0.001154977668193169,0.0020168466653558426,2.533342922106385e-07,0.0012535726685503807,919777.6666666666,919877.0,524442.0,524442.0,524442.0,524442.0,-1.0,-1.0,0.7976549696985957,3.5227045784451634,0.15364583333333334,0,0
4096,32768,"[60, 40, 60]",40,3,0.31432568300078856,0.011541269333974924,0.010643717333247574,0.002596930331492331,0.0,0.1440718539961381,0.0011553376680240035,0.0020603289958671667,2.600014947044353e-07,0.0012595156658790074,919532.3333333334,920182.6666666666,524442.0,524442.0,524442.0,524442.0,-1.0,-1.0,1.1747484752392929e-06,5.4117158618064804e-06,0.0625,0,0
10000,32768,"[60, 40, 40, 60]",30,3,0.5930884306653752,0.015121483666007407,0.014202045667237448,0.0037671743339160457,0.0,0.24050786499719834,0.002695145665105277,0.003167801335318169,2.4999947830413777e-07,0.0028824963325556987,1316248.0,1315646.0,919805.0,920111.3333333334,919812.6666666666,919812.6666666666,-1.0,-1.0,0.7996946856746371,3.7835027538958586,1.4401041666666667,0,0
10000,32768,"[60, 40, 40, 60]",40,3,0.5922335183325534,0.015013299998827279,0.014139731002311843,0.0038831493317654044,0.0,0.23997399433574174,0.00263046300096903,0.0032413136650575325,2.9000026794771355e-07,0.0028708630003772364,1316070.6666666667,1315729.0,920199.0,919966.3333333334,920323.0,920323.0,-1.0,-1.0,1.2131830744352808e-06,6.182850925758506e-06,3.46875,0,0
10000,32768,"[60, 40, 60]",30,3,0.3143056433351982,0.01244706899888115,0.011171903664944693,0.0023250819964838834,0.0,0.17713400600041496,0.0012357463347143494,0.002057992668900018,1.6666793574889502e-07,0.0014607693301513791,920129.0,920161.6666666666,524442.0,524442.0,524442.0,524442.0,-1.0,-1.0,0.7996947319063281,3.783498793184846,0.15364583333333334,0,0
10000,32768,"[60, 40, 60]",40,3,0.31423638033205253,0.013925158670948198,0.011153290998966744,0.002326912001687257,0.0,0.17695143566622087,0.0012496329994367745,0.002089219335175585,2.4666466439763707e-07,0.0014664226667567466,919947.6666666666,919977.0,524442.0,524442.0,524442.0,524442.0,-1.0,-1.0,1.2106336177676738e-06,6.666347872830158e-06,0.0625,0,0
